,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
94,28b3954,berlin,50,max. 30 km,849.000 €,['171 m²'],['3 Zi.'],['1.035 m²'],['Einfamilienhaus'],n.a,['1929'],['C'],['Gas'],['Zentralheizung']
95,289p75c,berlin,50,max. 30 km,625.000 €,['130 m²'],['4 Zi.'],['1.240 m²'],['Einfamilienhaus'],['1 Geschoss'],['2005'],['A+'],['Elektro'],"['Ofen, Zentralheizung']"
96,27pev5h,berlin,50,max. 30 km,690.000 €,['100 m²'],['3 Zi.'],['1.239 m²'],['Einfamilienhaus'],n.a,['1976'],['C'],['Gas'],"['offener Kamin, Zentralheizung']"
97,28u2z55,berlin,50,max. 30 km,210.000 €,['97 m²'],['4 Zi.'],['899 m²'],['Doppelhaushälfte'],['1 Geschoss'],['1933/ 1968/1974'],n.a,['Gas'],['Zentralheizung']
98,28xaa54,berlin,50,max. 30 km,379.000 €,['100 m²'],['3 Zi.'],['137 m²'],['Reihenmittelhaus'],n.a,['1994'],['E'],['Gas'],['Zentralheizung']
99,27q6r5f,berlin,50,max. 30 km,320.000 €,['153 m²'],['5 Zi.'],['645 m²'],['Einfamilienhaus'],n.a,['1908'],['F'],['Gas'],['Zentralheizung']
100,287wf59,berlin,50,max. 30 km,398.500 €,['121 m²'],['4 Zi.'],['186 m²'],['Reihenmittelhaus'],n.a,['1999'],['D'],['Gas'],"['offener Kamin, Zentralheizung']"
101,27emt5w,berlin,50,max. 30 km,799.000 €,['135 m²'],['6 Zi.'],['450 m²'],['Einfamilienhaus'],['2 Geschosse'],['1935'],n.a,"['Holz, Öl']","['Ofen, Zentralheizung']"
102,27j9q5u,berlin,50,max. 30 km,699.000 €,['188 m²'],['7 Zi.'],['1.157 m²'],['Einfamilienhaus'],n.a,['1994'],['C'],['Elektro'],"['Etagenheizung, offener Kamin']"
103,28sr853,berlin,50,max. 30 km,585.000 €,['110 m²'],['5 Zi.'],['250 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,n.a,n.a
104,27k9f53,berlin,50,max. 30 km,548.000 €,['183 m²'],['4 Zi.'],['574 m²'],['Einfamilienhaus'],n.a,['2004'],['C'],['Gas'],['Fußbodenheizung']
105,27vtf5c,berlin,50,max. 30 km,202.000 €,['115 m²'],['4 Zi.'],['4.451 m²'],n.a,n.a,['1971'],n.a,['Gas'],['Zentralheizung']
106,28u6r59,berlin,50,max. 30 km,795.000 €,['139 m²'],['7 Zi.'],['257 m²'],['Doppelhaushälfte'],['2 Geschosse'],['2022'],['A+'],['Elektro'],"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe']"
107,287rv55,berlin,50,max. 30 km,639.000 €,['143 m²'],['4 Zi.'],['428 m²'],['Doppelhaushälfte'],['2 Geschosse'],['1996'],n.a,['Gas'],n.a
108,28ht75c,berlin,50,max. 30 km,575.000 €,['125 m²'],['4 Zi.'],['886 m²'],['Einfamilienhaus'],n.a,['1980'],['C'],['Gas'],['Zentralheizung']
109,284s757,berlin,50,max. 30 km,335.000 €,['69 m²'],['3 Zi.'],['780 m²'],['Einfamilienhaus'],n.a,['1924'],n.a,n.a,n.a
110,27yf85p,berlin,50,max. 30 km,550.000 €,['208 m²'],['7 Zi.'],['659 m²'],['Villa'],['2 Geschosse'],['1911'],['G'],"['Elektro, Holz']",['Ofen']
