,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart,Stand
1556,28q8l5c,frankfurt-am-main,50,max. 15 km,1.225.000 €,['129 m²'],['5 Zi.'],['850 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1557,26vam5c,frankfurt-am-main,50,max. 15 km,400.000 €,['139 m²'],['5 Zi.'],['225 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1949'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1558,278bk5s,frankfurt-am-main,50,max. 15 km,399.000 €,['130 m²'],['4.5 Zi.'],['288 m²'],['Reihenmittelhaus'],n.a,['1975'],['F'],['Gas'],['Zentralheizung'],2023-01-04
1559,2727t5y,frankfurt-am-main,50,max. 15 km,445.000 €,['90 m²'],['4 Zi.'],['235 m²'],['Einfamilienhaus'],n.a,['1980'],['F'],['Gas'],"['offener Kamin, Zentralheizung']",2023-01-04
1560,28rdj56,frankfurt-am-main,50,max. 15 km,900.000 €,['149 m²'],['5 Zi.'],['446 m²'],['Bungalow'],n.a,['1974'],['D'],['Fernwärme'],n.a,2023-01-04
1561,28fmc57,frankfurt-am-main,50,max. 15 km,3.195.000 €,['485 m²'],['10 Zi.'],['1.161 m²'],['Villa'],n.a,['1992'],n.a,n.a,n.a,2023-01-04
1562,27m8f5m,frankfurt-am-main,50,max. 15 km,495.000 €,['123 m²'],['4 Zi.'],"['174,75 m²']",['Reihenendhaus'],n.a,['1978'],['E'],['Gas'],n.a,2023-01-04
1563,27hqa5r,frankfurt-am-main,50,max. 15 km,979.000 €,['273.78 m²'],['7 Zi.'],['346 m²'],['Mehrfamilienhaus'],n.a,['1960'],['D'],['Öl'],['Zentralheizung'],2023-01-04
1564,27nvl59,frankfurt-am-main,50,max. 15 km,545.000 €,['172.55 m²'],['9 Zi.'],['250 m²'],['Mehrfamilienhaus'],n.a,['1920'],n.a,['Gas'],['Zentralheizung'],2023-01-04
1565,28wvs5d,frankfurt-am-main,50,max. 15 km,1.050.000 €,['140 m²'],['5 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1566,28tvs5d,frankfurt-am-main,50,max. 15 km,1.090.000 €,['173 m²'],['5 Zi.'],['500 m²'],['Villa'],n.a,n.a,['A'],n.a,n.a,2023-01-04
1567,28f2d54,frankfurt-am-main,50,max. 15 km,1.080.000 €,['161 m²'],['5 Zi.'],['500 m²'],['Einfamilienhaus'],n.a,n.a,['A'],n.a,n.a,2023-01-04
