,ID,Ort,Umkreis,MaxOrt,Preis,Fläche,Zimmer,Grundstücksfläche,Kategorie,Etagen,Baujahr,Effizienzklasse,Energieträger,Heizungsart
6184,28ysq54,stuttgart,50,max. 50 km,850.000 €,['331 m²'],[],['562 m²'],n.a,n.a,['1966'],['H'],['Öl'],['Zentralheizung']
6185,27h7s5m,stuttgart,50,max. 50 km,736.000 €,['187 m²'],['7.5 Zi.'],['650 m²'],n.a,['2 Geschosse'],['1971'],['D'],"['Gas, Holz']","['offener Kamin, Zentralheizung']"
6186,27fny5k,stuttgart,50,max. 50 km,1.850.000 €,['1100 m²'],[],['458 m²'],['Mehrfamilienhaus'],['5 Geschosse'],['1959'],['C'],['Elektro'],['Etagenheizung']
6187,28nu458,stuttgart,50,max. 50 km,449.000 €,['113.31 m²'],['4 Zi.'],['196 m²'],['Einfamilienhaus'],['2 Geschosse'],['1973'],['H'],['Öl'],['Zentralheizung']
6188,274cr5x,stuttgart,50,max. 50 km,449.000 €,['113.31 m²'],['4 Zi.'],['196 m²'],['Einfamilienhaus'],['2 Geschosse'],['1973'],['H'],['Öl'],['Zentralheizung']
6189,28dhq53,stuttgart,50,max. 50 km,440.000 €,['100 m²'],['4 Zi.'],['395 m²'],['Reihenendhaus'],['3 Geschosse'],['1966'],['H'],['Gas'],['Zentralheizung']
6190,263ka5x,stuttgart,50,max. 50 km,620.000 €,['132 m²'],['5.5 Zi.'],['832 m²'],['Einfamilienhaus'],n.a,['1975'],['H'],['Öl'],['Zentralheizung']
6191,2829n53,stuttgart,50,max. 50 km,620.000 €,['132 m²'],['5 Zi.'],['282 m²'],['Doppelhaushälfte'],n.a,['1930'],['H'],['Gas'],n.a
6192,27a5f5c,stuttgart,50,max. 50 km,440.000 €,['172 m²'],['6 Zi.'],['700 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1971'],n.a,['Öl'],['Zentralheizung']
6193,289qj5b,stuttgart,50,max. 50 km,445.000 €,['134 m²'],['7 Zi.'],['259 m²'],['Einfamilienhaus'],['2 Geschosse'],['1912'],['H'],['Gas'],['Zentralheizung']
6194,27ahb5m,stuttgart,50,max. 50 km,725.000 €,['146.84 m²'],[],['559 m²'],['Mehrfamilienhaus'],n.a,['1959'],['F'],['Gas'],n.a
6195,2xnn54w,stuttgart,50,max. 50 km,749.000 €,['98 m²'],['5 Zi.'],['94 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1959'],['E'],['Gas'],['Zentralheizung']
6196,267e25h,stuttgart,50,max. 50 km,739.000 €,['190 m²'],['8 Zi.'],['635 m²'],['Einfamilienhaus'],['2 Geschosse'],['1979'],['E'],"['Holz, Öl']","['Fußbodenheizung, offener Kamin, Zentralheizung']"
6197,275l85u,stuttgart,50,max. 50 km,495.000 €,['138 m²'],['6 Zi.'],['417 m²'],['Reihenendhaus'],['4 Geschosse'],['1967'],n.a,['Öl'],['Zentralheizung']
6198,2782e5j,stuttgart,50,max. 50 km,699.000 €,['151.98 m²'],['5.5 Zi.'],['310 m²'],['Doppelhaushälfte'],n.a,['2023'],n.a,n.a,"['Luft-/Wasser-Wärmepumpe, Zentralheizung']"
6199,257q75u,stuttgart,50,max. 50 km,698.000 €,['200 m²'],['7 Zi.'],['543 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1962'],['F'],['Gas'],['Zentralheizung']
6200,27wkm5y,stuttgart,50,max. 50 km,449.000 €,['163.02 m²'],['5.5 Zi.'],['671 m²'],['Bungalow'],['1 Geschoss'],['1973'],n.a,"['Gas, Holz']","['offener Kamin, Zentralheizung']"
6201,28c2k58,stuttgart,50,max. 50 km,779.000 €,['289 m²'],['7 Zi.'],['616 m²'],['Mehrfamilienhaus'],n.a,['1965'],n.a,n.a,['Zentralheizung']
6202,282bw57,stuttgart,50,max. 50 km,289.000 €,['96 m²'],['5 Zi.'],['401 m²'],['Doppelhaushälfte'],['2 Geschosse'],['1964'],['H'],['Öl'],['Zentralheizung']
6203,27l6556,stuttgart,50,max. 50 km,459.000 €,['141.55 m²'],['8 Zi.'],['391 m²'],['Mehrfamilienhaus'],n.a,['1955'],n.a,['Öl'],['Zentralheizung']
6204,276um58,stuttgart,50,max. 50 km,319.000 €,['200 m²'],['6 Zi.'],['150 m²'],['Einfamilienhaus'],n.a,['1900'],['F'],['Öl'],['Zentralheizung']
6205,274ys5l,stuttgart,50,max. 50 km,327.000 €,['127 m²'],['5 Zi.'],['515 m²'],n.a,['3 Geschosse'],['1952'],n.a,['Öl'],['Zentralheizung']
6206,286j556,stuttgart,50,max. 50 km,1.180.000 €,['345 m²'],['11 Zi.'],['630 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['2008'],['A'],n.a,"['Fußbodenheizung, Luft-/Wasser-Wärmepumpe, Ofen, Zentralheizung']"
6207,275vp5z,stuttgart,50,max. 1 km,1.050.000 €,['240 m²'],['7 Zi.'],['549 m²'],['Einfamilienhaus'],n.a,['1960'],['C'],['Öl'],['Zentralheizung']
6208,2754d5h,stuttgart,50,max. 2 km,980.000 €,['148.54 m²'],['6 Zi.'],['194 m²'],n.a,n.a,['1948'],['G'],n.a,"['Ofen, Zentralheizung']"
6209,27zrd5u,stuttgart,50,max. 2 km,4.000.000 €,['217 m²'],[],['k.A.'],n.a,n.a,n.a,n.a,n.a,n.a
6210,27ldn5z,stuttgart,50,max. 2 km,2.390.000 €,['230 m²'],['6 Zi.'],['1.612 m²'],['Einfamilienhaus'],n.a,['1928'],['G'],['Gas'],['Zentralheizung']
6211,27bxp5u,stuttgart,50,max. 2 km,2.780.000 €,['352 m²'],['9 Zi.'],['864 m²'],['Villa'],n.a,['1932'],n.a,['Gas'],['Zentralheizung']
6212,28v5f5b,stuttgart,50,max. 2 km,2.490.000 €,['261 m²'],['6 Zi.'],['1.097 m²'],['Einfamilienhaus'],n.a,['1963'],['D'],['Öl'],['Zentralheizung']
6213,28sk35c,stuttgart,50,max. 2 km,2.150.000 €,['295 m²'],['10 Zi.'],['377 m²'],['Mehrfamilienhaus'],n.a,['1956'],n.a,['Öl'],['Zentralheizung']
6214,27d9e54,stuttgart,50,max. 2 km,1.395.000 €,['202 m²'],['10 Zi.'],['383 m²'],['Mehrfamilienhaus'],n.a,['1925'],['H'],n.a,"['offener Kamin, Zentralheizung']"
6215,28nnn54,stuttgart,50,max. 2 km,1.490.000 €,['307.33 m²'],['9 Zi.'],['391 m²'],['Mehrfamilienhaus'],n.a,['1928'],['F'],n.a,['Etagenheizung']
6216,27lph5z,stuttgart,50,max. 2 km,1.290.000 €,['170 m²'],['6 Zi.'],['346 m²'],['Einfamilienhaus'],n.a,['1980'],['F'],['Öl'],"['Fußbodenheizung, Zentralheizung']"
6217,28lke57,stuttgart,50,max. 2 km,699.000 €,['148.53 m²'],['8 Zi.'],['146 m²'],['Mehrfamilienhaus'],n.a,['1890'],['H'],n.a,['Etagenheizung']
6218,28pvv52,stuttgart,50,max. 2 km,1.290.000 €,['442 m²'],['17 Zi.'],['210 m²'],['Mehrfamilienhaus'],n.a,n.a,n.a,n.a,n.a
6219,27qyk58,stuttgart,50,max. 2 km,950.000 €,['217.43 m²'],['9 Zi.'],['419 m²'],['Mehrfamilienhaus'],n.a,['1929'],['G'],n.a,n.a
6220,27f2s52,stuttgart,50,max. 3 km,5.200.000 €,['434 m²'],['11 Zi.'],['1.118 m²'],['Mehrfamilienhaus'],n.a,['1958'],['G'],['Gas'],['Zentralheizung']
6221,27aba5y,stuttgart,50,max. 3 km,auf Anfrage,['342 m²'],[],['1.984 m²'],['Mehrfamilienhaus'],n.a,['1979'],n.a,n.a,"['offener Kamin, Zentralheizung']"
6222,28yqf54,stuttgart,50,max. 3 km,1.500.000 €,['144.68 m²'],['7 Zi.'],['2.058 m²'],['Doppelhaushälfte'],n.a,['1927'],n.a,['Gas'],['Zentralheizung']
6223,26f9d52,stuttgart,50,max. 3 km,1.975.000 €,['237 m²'],['9.5 Zi.'],['2.709 m²'],['Mehrfamilienhaus'],n.a,['1935'],['C'],['Gas'],['Zentralheizung']
6224,27sbg56,stuttgart,50,max. 3 km,868.000 €,['226 m²'],[],['102 m²'],['Mehrfamilienhaus'],['2 Geschosse'],['1890'],n.a,['Gas'],['Etagenheizung']
6225,287j452,stuttgart,50,max. 3 km,2.590.000 €,['354 m²'],['12 Zi.'],['144 m²'],['Mehrfamilienhaus'],['4 Geschosse'],['1903'],n.a,['Gas'],['Zentralheizung']
6226,26dhj59,stuttgart,50,max. 3 km,925.000 €,['123.09 m²'],['5 Zi.'],['413 m²'],['Doppelhaushälfte'],n.a,['1948'],['H'],['Gas'],['Zentralheizung']
6227,27jcw5x,stuttgart,50,max. 3 km,1.590.000 €,['380 m²'],['12 Zi.'],['110 m²'],n.a,n.a,['1910'],['D'],n.a,n.a
6228,27sqw5z,stuttgart,50,max. 3 km,920.000 €,['184 m²'],['8 Zi.'],['199 m²'],['Mehrfamilienhaus'],n.a,['1894'],['G'],"['Elektro, Gas']",['Etagenheizung']
6229,283p257,stuttgart,50,max. 3 km,1.680.000 €,['197 m²'],['6.5 Zi.'],['493 m²'],['Mehrfamilienhaus'],['3 Geschosse'],['1937'],n.a,['Gas'],['Zentralheizung']
6230,27rr25e,stuttgart,50,max. 3 km,2.250.000 €,['228.9 m²'],['5.5 Zi.'],['526 m²'],['Doppelhaushälfte'],['1 Geschoss'],['1978'],['C'],['Öl'],['Zentralheizung']
6231,278k85u,stuttgart,50,max. 3 km,2.495.000 €,['200 m²'],['7.5 Zi.'],['550 m²'],['Doppelhaushälfte'],n.a,n.a,n.a,['Elektro'],['Zentralheizung']
6232,278gf5s,stuttgart,50,max. 3 km,2.975.000 €,['276 m²'],['10 Zi.'],['960 m²'],['Einfamilienhaus'],n.a,['1977'],n.a,['Gas'],"['offener Kamin, Zentralheizung']"
6233,27gu556,stuttgart,50,max. 3 km,2.975.000 €,['276 m²'],['10 Zi.'],['960 m²'],['Einfamilienhaus'],n.a,['1977'],n.a,['Gas'],"['offener Kamin, Zentralheizung']"
6234,27hfb5x,stuttgart,50,max. 3 km,800.000 €,['86 m²'],['5 Zi.'],['358 m²'],n.a,n.a,['1934'],['H'],['Gas'],['Ofen']
6235,265n65z,stuttgart,50,max. 3 km,1.270.000 €,['287 m²'],['14 Zi.'],['151 m²'],['Mehrfamilienhaus'],n.a,['1911'],['H'],['Gas'],['Etagenheizung']
6236,28a3z5a,stuttgart,50,max. 3 km,899.000 €,['145 m²'],['5 Zi.'],['380 m²'],['Reihenmittelhaus'],n.a,['1978'],['E'],['Gas'],['Zentralheizung']
6237,28ann54,stuttgart,50,max. 5 km,1.490.000 €,['240 m²'],['9 Zi.'],['430 m²'],['Mehrfamilienhaus'],n.a,['1934'],['G'],n.a,['Etagenheizung']
6238,27wwx5d,stuttgart,50,max. 5 km,3.140.000 €,['339 m²'],['12.5 Zi.'],['509 m²'],['Mehrfamilienhaus'],n.a,['2007'],n.a,['Gas'],['Fußbodenheizung']
6239,277dj5q,stuttgart,50,max. 5 km,895.000 €,['162.97 m²'],['7 Zi.'],['438 m²'],['Doppelhaushälfte'],n.a,['1981'],['D'],['Elektro'],n.a
6240,26wr55m,stuttgart,50,max. 5 km,auf Anfrage,['225 m²'],['8 Zi.'],['200 m²'],['Mehrfamilienhaus'],n.a,['1973'],n.a,n.a,n.a
6241,26z535p,stuttgart,50,max. 5 km,720.000 €,['99.48 m²'],['4.5 Zi.'],['245 m²'],['Doppelhaushälfte'],n.a,['1922'],['H'],['Gas'],['Etagenheizung']
6242,26dxt5j,stuttgart,50,max. 5 km,1.300.000 €,['200 m²'],['9 Zi.'],['225 m²'],['Mehrfamilienhaus'],n.a,['1939'],n.a,n.a,['Etagenheizung']
6243,27zsn5v,stuttgart,50,max. 5 km,1.200.000 €,['200 m²'],['9 Zi.'],['225 m²'],['Mehrfamilienhaus'],n.a,['1939'],n.a,n.a,['Etagenheizung']
6244,27qff5s,stuttgart,50,max. 5 km,1.200.000 €,['200 m²'],['9 Zi.'],['225 m²'],['Mehrfamilienhaus'],n.a,['1939'],n.a,n.a,['Etagenheizung']
6245,282nm55,stuttgart,50,max. 5 km,560.000 €,['111.71 m²'],['7 Zi.'],"['165,22 m²']",['Doppelhaushälfte'],n.a,['1929'],['H'],n.a,['Zentralheizung']
6246,26wgk5m,stuttgart,50,max. 5 km,1.490.000 €,['280 m²'],['10 Zi.'],['405 m²'],['Mehrfamilienhaus'],n.a,['1954'],['H'],['Öl'],['Zentralheizung']
6247,27kqr5p,stuttgart,50,max. 5 km,1.895.000 €,['259.86 m²'],['10.5 Zi.'],['223 m²'],n.a,n.a,['1948'],n.a,n.a,n.a
6248,279hb55,stuttgart,50,max. 5 km,1.900.000 €,['215 m²'],['6 Zi.'],['522 m²'],['Doppelhaushälfte'],n.a,['1966'],['G'],"['Elektro, Holz, Öl, Solar']","['offener Kamin, Zentralheizung']"
6249,27ul35r,stuttgart,50,max. 5 km,1.690.000 €,['275 m²'],['11 Zi.'],['738 m²'],['Mehrfamilienhaus'],n.a,['1960'],['G'],['Öl'],['Zentralheizung']
6250,28zde52,stuttgart,50,max. 5 km,949.000 €,['228.07 m²'],['9 Zi.'],['198 m²'],['Mehrfamilienhaus'],n.a,['1974'],['F'],['Gas'],['Zentralheizung']
6251,27hnj5k,stuttgart,50,max. 5 km,2.160.000 €,['356 m²'],['11 Zi.'],['999 m²'],['Mehrfamilienhaus'],n.a,['1984'],['C'],['Elektro'],['offener Kamin']
